trial_id,publication_doi,registry_id,population_adult,icu_setting,design_superiority,randomization_unit,primary_outcome_label,primary_outcome_timepoint,adverse_event_direction,p0_assumed,p1_assumed,effect_assumed_scale,effect_assumed_value,target_analyzable_n,target_randomized_n,attrition_allowance,target_power,alpha,tail,allocation_ratio,actual_randomized_n,actual_primary_analysis_n,n0_observed,x0_observed,n1_observed,x1_observed,effect_observed_value,negative_primary,recruitment_shortfall,design_recalculation_status,cer_error_pp,counterfactual_mde_scale,counterfactual_mde_value,mde_to_assumed_effect_ratio,control_event_rate_compromised,agent_disagreement_status
PLUS-NCT02721654,10.1056/NEJMoa2114464,NCT02721654,yes,53 adult ICUs in Australia and New Zealand,yes,individual,all-cause mortality,day 90 after randomization,higher_worse,0.23,0.1922,absolute_difference,0.0378,4900,5000,0.02,0.90,0.05,two_sided,1:1,5037,4846,2413,530,2433,530,0.0018055371737109,yes,no,reproduced,1.03564028180688,absolute_difference,0.0371057106297691,0.981632556343099,no,none
VITAMIN_C_SHOCK_NCT03338569,10.1097/CCM.0000000000005427,NCT03338569,yes,One academic medical ICU and four community ICUs; adults with septic shock within 24 h of vasopressor initiation,yes,individual,All-cause mortality,28 days,higher_worse,0.30,0.10,absolute_difference,0.20,124,140,,0.80,0.05,two_sided,1:1,125,124,64,26,60,16,0.1395833333,yes,yes,reproduced,-10.625,absolute_difference,0.2268106,1.134053,no,resolved
EVK_NCT02643381,10.1007/s00134-021-06577-x,NCT02643381,yes,Single high-volume US center; critically ill adults requiring emergency endotracheal intubation,yes,individual,Survival,Day 7 after emergency endotracheal intubation,higher_better,0.85,0.95,absolute_difference,0.10,750,825,0.10,0.80,0.05,unclear,1:1,801,791,396,306,395,336,0.0779059829,no,yes,failed,7.7272727273,,,,no,resolved
HIFLO_COVID_NCT04609462,10.1001/jama.2021.20714,NCT04609462,yes,"Three Colombian hospitals; adults with severe COVID-19 hypoxemic respiratory failure in emergency, ward, or ICU settings",yes,individual,Need for intubation / invasive mechanical ventilation,Through day 28,higher_worse,0.60,0.40,absolute_difference,0.20,196,220,,0.80,0.05,two_sided,1:1,220,199,100,51,99,34,0.1665656566,no,no,reproduced,9,absolute_difference,0.1958136,0.979068,no,resolved
CONTROLING_NCT02244073,10.1007/s00134-021-06526-8,NCT02244073,yes,"Twelve French adult medical, surgical, and mixed ICUs",yes,individual,All-cause mortality,Within 90 days after randomization,higher_worse,0.22,0.18,absolute_difference,0.04,4200,4200,,0.90,0.05,two_sided,1:1,2075,1917,968,295,938,308,-0.0236061374,yes,yes,reproduced,-8.4752066116,absolute_difference,0.04500311,1.125078,no,resolved
ANISODAMINE-NCT02442440,10.1186/s13054-021-03774-4,NCT02442440,yes,12 tertiary-care hospital ICUs in China; critically ill adults with septic shock,yes,individual,Hospital mortality,From randomization through hospital discharge,higher_worse,0.50,0.35,absolute_difference,0.15,355,355,,0.80,0.05,two_sided,1:1,355,355,174,62,181,55,0.052454435766,yes,no,reproduced,14.367816091954,absolute_difference,0.134375497279,0.895836648525,no,resolved
PROSPECT-NCT02462590,10.1001/jama.2021.13355,NCT02462590,yes,"44 adult ICUs in Canada, the United States, and Saudi Arabia; adults expected to require mechanical ventilation for at least 72 hours",yes,individual,Centrally adjudicated incident ventilator-associated pneumonia,Through 60 days after randomization,higher_worse,0.15,0.1125,RRR,0.25,2650,2650,,0.80,0.05,two_sided,1:1,2653,2650,1332,284,1318,289,-0.028414798350,yes,no,reproduced,-6.321321321321,RRR,0.200901705559,0.803606822237,no,resolved
REST-NCT02654327,10.1001/jama.2021.13374,NCT02654327,yes,51 United Kingdom ICUs; mechanically ventilated adults with acute hypoxemic respiratory failure,yes,individual,All-cause mortality,90 days after randomization,higher_worse,0.41,0.3157,RRR,0.23,1086,1120,0.03,0.90,0.05,two_sided,1:1,412,405,205,81,200,83,-0.050308641975,yes,yes,reproduced,1.487804878049,RRR,0.236764124238,1.029409235818,yes,resolved
EIT-PEEP-NCT02361398,10.1186/s13054-021-03645-y,NCT02361398,yes,Single tertiary-care ICU in China; mechanically ventilated adults aged 18-85 years with ARDS,yes,individual,All-cause mortality,Within 28 days after randomization,higher_worse,0.40,0.15,absolute_difference,0.25,114,126,,0.80,0.05,unclear,1:1,126,117,56,15,61,13,0.054742388759,yes,no,partial,13.214285714286,,,,unclear,resolved
PROFLO_ISRCTN54917435,10.1186/s13054-021-03602-9,ISRCTN54917435,yes,adult COVID-19 patients receiving HFNO or NIV at three Swedish hospitals,yes,individual,intubation,within 30 days,higher_worse,0.88,0.704,RRR,0.20,224,240,,0.90,0.05,two_sided,1:1,75,75,39,13,36,12,0,yes,yes,reproduced,54.6666666667,RRR,0.5510468879,2.7552344396,yes,resolved
POSA_FLU_NCT03378479,10.1007/s00134-021-06431-0,NCT03378479,yes,adult patients admitted to ICU with influenza-associated respiratory failure,yes,individual,IAPA incidence,during ICU stay in the MITT population excluding IAPA present within 48 hours,higher_worse,0.25,0.05,RRR,0.80,94,110,,0.80,0.05,one_sided,1:1,88,73,36,4,37,2,0.5135135135,yes,yes,failed,13.8888888889,,,,unclear,resolved
IMT_NCT02932189,10.1097/CCM.0000000000004787,NCT02932189,yes,tracheostomized adults undergoing prolonged weaning in a Brazilian ICU,yes,individual,successful weaning,cumulative successful weaning through ICU day 60; successful weaning defined as spontaneous breathing for at least 48 hours after MV withdrawal,higher_better,,,absolute_difference,0.30,80,104,0.30,0.80,0.05,two_sided,1:1,110,101,,,,,0.303,no,no,partial,,,,,unclear,resolved
BACLOREA_NCT02723383,10.1001/jama.2021.0658,NCT02723383,yes,adults with unhealthy alcohol use receiving mechanical ventilation in 18 French ICUs,yes,individual,at least one agitation-related event,during study treatment (22 days maximum),higher_worse,0.42,0.27,absolute_difference,0.15,314,314,,0.80,0.05,two_sided,1:1,314,314,155,46,157,31,0.0993219642,no,no,reproduced,12.3225806452,absolute_difference,0.1326600971,0.8844006470,no,resolved
CAPE_COVID_NCT02517489,10.1001/jama.2020.16761,NCT02517489,yes,Nine French ICUs; adults with COVID-19 acute respiratory failure,yes,individual,Treatment failure (death or persistent mechanical ventilation or high-flow oxygen dependency),Day 21,higher_worse,0.30,0.15,absolute_difference,0.15,290,290,,0.80,0.05,two_sided,1:1,149,149,73,37,76,32,0.086,yes,yes,failed,-20.684931506849,,,,no,resolved
ECMO_TPP_32590385,10.1097/CCM.0000000000004445,,yes,Single 16-bed respiratory ICU; adults with severe ARDS supported by VV-ECMO,yes,individual,Successful weaning from venovenous ECMO,During the VV-ECMO treatment course,higher_better,,,,,96,96,,0.80,,unclear,1:1,104,102,50,24,52,37,0.231538461538,no,no,partial,,,,,no,resolved
DECADE_NCT02004613,10.1016/S0140-6736(20)30631-0,NCT02004613,yes,Six US academic hospitals; adults recovering in ICU after cardiac surgery,yes,individual,New-onset atrial arrhythmia (atrial fibrillation or flutter),ICU admission to postoperative day 5 or earlier hospital discharge,higher_worse,0.35,0.245,RR,0.70,965,965,,0.90,0.05,two_sided,1:1,798,794,395,134,397,121,0.90,yes,yes,failed,1.075949367089,,,,unclear,resolved
STARRT_AKI_NCT02568722,10.1056/NEJMoa2000741,NCT02568722,yes,Multinational ICUs; critically ill adults with severe acute kidney injury,yes,individual,All-cause mortality,90 days after randomization,higher_worse,0.40,0.34,RRR,0.15,2780,2866,0.03,0.90,0.05,two_sided,1:1,3019,2927,1462,639,1465,643,-0.004199180674,yes,no,reproduced,-3.707250341997,RRR,0.138097073855,0.920647159036,no,resolved
65_TRIAL_ISRCTN10580502,10.1001/jama.2020.0930,ISRCTN10580502,yes,65 UK adult general ICUs; patients aged at least 65 years with vasodilatory hypotension receiving vasopressors,yes,individual,All-cause mortality,90 days after randomization,higher_worse,0.35,0.29,absolute_difference,0.06,2535,2600,0.025,0.90,0.05,two_sided,1:1,2600,2463,1242,544,1221,500,0.028502811112,yes,no,reproduced,-8.800322061192,absolute_difference,0.063191462201,1.053191036691,no,resolved
IC43_NCT01563263,10.1186/s13054-020-2792-z,NCT01563263,yes,52 European ICUs; medically ill adults expected to require mechanical ventilation for at least 48 hours,yes,individual,All-cause mortality,Day 28,higher_worse,,,absolute_difference,0.10,800,800,,0.90,0.05,two_sided,1:1,799,799,390,108,370,108,-0.014968814969,yes,yes,partial,,,,,unclear,resolved
NONSEDA_NCT01967680,10.1056/NEJMoa1906759,NCT01967680,yes,Multinational ICUs; critically ill adults receiving mechanical ventilation,yes,individual,All-cause mortality,90 days after randomization,higher_worse,0.40,0.30,RRR,0.25,700,700,,0.80,0.05,two_sided,1:1,710,700,351,130,349,148,-0.144985673352,yes,no,reproduced,2.962962962963,RRR,0.266508097857,1.066032391427,yes,resolved
VIOLET_NCT03096314,10.1056/NEJMoa1911124,NCT03096314,yes,44 US hospitals; critically ill adults at high risk for death with screened vitamin D deficiency,yes,individual,"All-cause, all-location mortality",90 days after randomization,higher_worse,0.20,0.15,absolute_difference,0.05,2400,3000,0.20,0.87,0.05,two_sided,1:1,1360,1078,528,109,531,125,-0.028965502482,yes,yes,failed,-0.643939393939,,,,no,resolved
VANCS_II_NCT01718613,10.1097/CCM.0000000000004023,NCT01718613,yes,Single tertiary-care ICU; adults with cancer and septic shock,yes,individual,All-cause mortality,Day 28 after randomization,higher_worse,,,,,,,,,,,1:1,250,250,125,66,125,71,-0.04,yes,no,partial,,,,,unclear,resolved
ANTHARTIC_NCT02186951,10.1056/NEJMoa1812379,NCT02186951,yes,Multicenter ICUs; mechanically ventilated adults after shockable out-of-hospital cardiac arrest treated with targeted temperature management,yes,individual,Early ventilator-associated pneumonia,First 7 days of hospitalization,higher_worse,0.68,0.51,RRR,0.25,163,192,0.15,0.90,0.05,two_sided,1:1,198,194,95,32,99,19,0.430239898990,no,no,failed,34.315789473684,,,,no,resolved
HIGH_WEAN_NCT03121482,10.1001/jama.2019.14901,NCT03121482,yes,Multicenter French ICUs; adults at high risk of extubation failure after planned extubation,yes,individual,Reintubation,Within 7 days after planned extubation,higher_worse,0.18,0.10,absolute_difference,0.08,590,650,0.10,0.80,0.05,two_sided,1:1,648,641,302,55,339,40,0.064125105003,no,yes,reproduced,-0.211920529801,absolute_difference,0.080345110634,1.004313882925,no,resolved
HYPERION_NCT01994772,10.1056/NEJMoa1906661,NCT01994772,yes,Multicenter French ICUs; comatose adults after resuscitated cardiac arrest with nonshockable rhythm,yes,individual,Survival with favorable neurologic outcome (CPC score 1 or 2),Day 90 after randomization,higher_better,0.14,0.23,absolute_difference,0.09,584,584,,0.80,0.05,two_sided,1:1,584,581,297,17,284,29,0.044873618817,no,no,reproduced,8.276094276094,absolute_difference,0.066359026293,0.737322514363,no,resolved
ALBUMIN_RINGER_PMID31356475,10.1097/CCM.0000000000003900,,yes,Single tertiary-care cancer ICU; adults with severe sepsis or septic shock,yes,individual,All-cause mortality,Day 7,higher_worse,,,,,,,,,,,1:1,360,360,180,40,180,46,-0.033333333333,yes,unclear,partial,,,,,unclear,resolved
NIV_MILD_ARDS_NCT01581229,10.1186/s13054-019-2575-6,NCT01581229,yes,Twenty-one Chinese respiratory and critical-care departments; adults with pneumonia-induced early mild ARDS,yes,individual,Meeting criteria for endotracheal intubation,During index hospitalization (registry v0 timeFrame: 1 year),higher_worse,0.40,0.32,RRR,0.20,184,200,0.15,0.80,0.05,two_sided,1:1,204,200,98,9,102,11,-0.174291938998,yes,no,failed,30.816326530612,,,,unclear,resolved
PRESSURE_SUPPORT_SBT_NCT02620358,10.1001/jama.2019.7234,NCT02620358,yes,Eighteen Spanish ICUs; adults ready for weaning after at least 24 hours of invasive mechanical ventilation,yes,individual,"Successful extubation, remaining free of invasive ventilation",72 hours after the first spontaneous breathing trial,higher_better,0.75,0.82,absolute_difference,0.07,1080,1080,,0.80,0.05,two_sided,1:1,1153,1153,578,428,575,473,0.082124266586,no,no,reproduced,0.951557093426,absolute_difference,0.071008519810,1.014407425856,no,resolved
SCARLET_NCT01598831,10.1001/jama.2019.5358,NCT01598831,yes,Multinational ICUs; adults with sepsis-associated coagulopathy and cardiovascular or respiratory dysfunction,yes,individual,All-cause mortality,Day 28 after treatment start,higher_worse,0.24,0.16,absolute_difference,0.08,800,800,,0.80,0.05,two_sided,1:1,816,800,405,119,395,106,0.025472730114,yes,no,reproduced,-5.382716049383,absolute_difference,0.085762106692,1.072026333651,no,resolved
PMID31112380,10.1056/NEJMoa1904710,NCT01728558,yes,adult ICU mechanical ventilation (multicenter),yes,individual,death from any cause,90 days,higher_worse,,,,,,4000,,,,,1:1,4000,3904,1956,569,1948,566,0,yes,no,partial,,,,,unclear,resolved
PMID31064406,10.1186/s13054-019-2440-7,NCT03760510,yes,medical ICU invasive mechanical ventilation (single-center),yes,individual,composite lip ulcer endotracheal tube dislodgement VAP or facial skin tears (design primary as rate per 1000 ventilator days),from randomization to earlier of death or 48 h after extubation,higher_worse,,,,,284,500,0.056,0.8,0.05,two_sided,1:1,500,298,145,25,153,12,0.0939824206,no,no,partial,,,,,unclear,resolved
PMID30772908,10.1001/jama.2019.0071,NCT03078712,yes,adult ICU septic shock (28 ICUs 5 countries),yes,individual,all-cause mortality,28 days,higher_worse,0.45,0.3,absolute_difference,0.15,420,420,,0.9,0.05,two_sided,1:1,424,424,212,92,212,74,0.0849056604,yes,no,reproduced,1.6037735849,absolute_difference,0.1509548364,1.0063655761,yes,resolved
PMID30617461,10.1007/s00134-018-5497-x,NCT01648777,yes,postoperative cardiac surgery with sternotomy/CPB (ICU pathway; 5 academic centers),yes,individual,postoperative pneumonia,hospital discharge or 30 days,higher_worse,0.18,0.126,RRR,0.3,1500,1500,,0.8,0.05,two_sided,1:1,1493,1485,739,42,746,36,0.1509,yes,yes,failed,12.3166441137,,,,unclear,resolved
